trip_distance,average_total_fare,number_of_trips
31,88.81856749311295,363
7468004,29.5,1
85,2.5,1
808,23.5,1
65,160.5,8
53,183.16851851851854,27
804,27.0,1
255,52.0,1
78,277.25,4
5003301,10.5,1
108,251.0,2
34,103.8109433962264,212
211,2.5,1
101,12.166666666666666,6
81,132.1,2
28,69.20878048780487,1230
183,1.25,2
7000000,9.0,1
76,164.25,4
92001,2.5,1
27,74.68282771535581,1068
26,73.39875502008032,1245
13331,2.5,1
44,149.86016393442625,61
606,2.5,1
159,2.5,1
103,24.0,1
12,37.165132036847496,63505
151401,13.5,1
91,15.0,1
409,15.0,1
285,0.0,1
22,56.62514692378329,8712
128,300.0,1
93,93.5,3
233,0.0,1
190,2.5,2
157,2.5,1
47,169.97410256410257,39
318000,2.5,1
152,2.5,1
132,100.0,1
185,52.0,1
15801,19.5,1
2840,7.0,1
146,2.5,1
259,0.0,1
1,6.563270751003565,5124716
50333,8.0,1
206,52.0,1
1531800,16.0,1
52,146.28547619047617,42
8000020,7.5,1
442,46.5,1
182,435.0,1
13,40.50971360506819,38199
6,21.554052094810675,297688
16,49.79012443605697,33913
26005,31.5,1
168,2.5,1
3,13.219994306729351,1478939
178,45.26666666666667,3
2200000,22.5,1
20,54.33954906503393,24172
40,116.31645569620254,79
164,52.0,1
1275,15.5,1
500,22.8,5
139,0.0,1
402,12.0,1
94,52.0,1
57,147.435,20
54,184.07545454545453,22
500501,9.0,1
1001339,52.0,1
96,115.16666666666667,3
620,16.0,1
133180,2.5,1
48,158.30882352941177,34
5,18.972914555886103,470600
163,2.5,1
14331800,2.5,1
19,53.065130859375,40960
92,327.75,2
8005023,10.0,1
64,202.77272727272728,11
41,142.97024096385542,83
15,46.36468783574072,25131
43,134.55846153846153,65
900000,9.0,1
112,114.0,1
43000,2.5,1
165,52.0,2
8000160,10.5,1
11800001,2.5,1
189,2.5,1
207,1.25,2
179,66.0,2
37,119.0362643678161,174
61,164.125,8
127,163.75,2
11800002,2.5,1
502,13.25,2
8000030,19.5,1
88,145.0,2
5000000,2.5,1
197,2.5,1
202,8.416666666666666,6
9,28.878966462785606,150251
17,52.373976195212514,60324
11800000,19.5,1
72,81.25,4
175,39.25,4
35,104.33316582914573,199
503,26.0,1
286303,3.0,1
3318000,13.5,1
10083318,11.0,1
220,3.0,1
301,7.0,1
114,0.0,1
4,16.19124846212958,779487
59,128.12625,8
55,136.92105263157896,19
35005,28.0,1
8,26.337530064447552,150510
100,27.150793650793652,63
506330,34.5,1
161,2.5,1
23,61.32784313725491,3621
39,126.35931034482759,87
30083,6.5,2
49,142.63793103448276,29
176,425.0,1
7,24.023811134459102,197495
6710318,2.5,1
8331800,12.25,2
130,350.0,1
514332,13.5,1
136,2.5,1
84,210.0,2
1000,2.5,1
87,249.25,2
536871,2.5,1
171,2.5,1
51,163.0530303030303,33
194,2.5,1
69,187.375,8
166,2.5,1
97,256.0,2
400,8.5,2
63,143.16666666666666,15
1000000,12.0,1
403,37.5,1
1579886,2.5,1
10,31.57274987530795,132326
102,92.375,4
50,154.54870967741937,31
45,152.9,56
6187,0.0,1
38,114.81740384615385,104
181,21.0,3
82,420.0,1
5101,23.0,1
80,155.93,2
25,72.2468656716418,1407
73,135.25,2
113,200.0,1
24,68.55974180734856,2014
70,103.83999999999999,3
62,160.67222222222222,9
480,4.5,1
351,190.0,1
156,2.5,1
143,2.5,1
95,52.0,1
29,74.2141641025641,975
21,55.00466217435774,16621
214,2.5,1
98,76.25,2
14731433,13.0,1
1638798,2.5,1
32,98.4597633136095,338
60,155.87916666666666,12
90,131.75,2
75,180.91666666666666,6
640,2.5,1
203,12.0,1
22744,3.0,1
801,12.5,1
1672820,2.5,1
56,150.83928571428572,14
109,300.0,1
702,10.5,1
170,41.666666666666664,3
5043318,2.5,1
58,184.0,11
188,52.0,1
11,34.318441457354126,100209
33,102.18661129568106,301
110,2.5,1
150,51.0,2
68,122.76857142857143,7
71,370.0,1
106,489.5,1
147,2.5,1
14,43.68324782670657,28068
1236007,2.5,1
198,52.0,1
199,82.0,2
284,38.25,2
158,2.5,1
2328400,11.0,1
42,143.4533870967742,62
119,350.0,1
2,9.978009769729141,3110424
79,90.2,5
3180000,25.0,2
124,2.5,1
30,80.38213768115942,552
99,230.0,1
228255,8.5,1
184,0.0,1
700,8.5,1
45000,9.0,1
66,108.33333333333333,3
405,32.5,1
46,133.7987804878049,41
67,144.58333333333334,6
275,0.0,1
186,2.5,2
681,10.5,1
174,1.25,2
172,27.25,2
5073,6.0,1
2500,10.0,1
153,13.9,2
0,4.467219708907964,510835
6318000,16.0,1
18,52.8240724590066,66962
74,335.0733333333333,3
138,0.0,1
134,52.0,1
32005,23.0,1
7000,16.5,1
36,108.5893956043956,182
5133,17.0,1
187,2.5,1
1515967,2.5,1
89,223.0,2
