zone,number_of_pickups
Homecrest,148
Governor's Island/Ellis Island/Liberty Island,8
Corona,430
Bensonhurst West,339
Westerleigh,7
Charleston/Tottenville,3
Newark Airport,226
Douglaston,20
East Concourse/Concourse Village,753
Mount Hope,246
Pelham Parkway,94
Marble Hill,105
Rego Park,1651
Upper East Side South,488383
Dyker Heights,77
Heartland Village/Todt Hill,10
Kew Gardens Hills,281
Rikers Island,26
Jackson Heights,8225
Bayside,59
TriBeCa/Civic Center,250474
Yorkville West,222871
Highbridge,240
Stuy Town/Peter Cooper Village,74704
Flushing Meadows-Corona Park,995
Bushwick South,7368
Riverdale/North Riverdale/Fieldston,105
Windsor Terrace,675
Old Astoria,10380
West Concourse,1383
Clinton Hill,7816
Ocean Hill,389
Stuyvesant Heights,2458
Broad Channel,2
Upper West Side North,222839
Mariners Harbor,12
East Harlem South,71371
Kensington,1061
Oakland Gardens,13
Springfield Gardens North,42
Crown Heights North,5176
Longwood,93
Lenox Hill East,193744
Hudson Sq,79937
Flushing,730
Norwood,126
Upper East Side North,424761
Columbia Street,9
UN/Turtle Bay South,182721
Prospect Park,725
Starrett City,22
East Elmhurst,1484
Country Club,6
Long Island City/Hunters Point,19644
New Dorp/Midland Beach,18
Whitestone,48
Bedford Park,119
Union Sq,452092
Bloomingdale,39690
Midtown East,390869
Long Island City/Queens Plaza,13322
South Jamaica,405
Downtown Brooklyn/MetroTech,15746
Glen Oaks,89
Sunset Park West,1487
Saint George/New Brighton,36
Bath Beach,75
East Flatbush/Remsen Village,155
Richmond Hill,491
East Harlem North,43865
Washington Heights South,11541
Canarsie,122
Van Cortlandt Village,135
Sutton Place/Turtle Bay North,258623
Sheepshead Bay,69
Grymes Hill/Clifton,8
LaGuardia Airport,236186
Flatlands,158
Hunts Point,122
Jamaica Estates,96
Coney Island,47
Parkchester,148
Astoria,28936
Lower East Side,200578
Garment District,179967
Cobble Hill,9918
Erasmus,282
Madison,81
East Village,429834
Carroll Gardens,9304
Gowanus,3460
Hillcrest/Pomonok,158
Lincoln Square East,378053
Fort Greene,14521
Marine Park/Mill Basin,62
Eastchester,52
Gramercy,285265
Manhattan Valley,101628
Briarwood/Jamaica Hills,829
Middle Village,293
Midtown South,323069
Mott Haven/Port Morris,2540
Battery Park City,107224
South Williamsburg,2100
Co-Op City,40
Cypress Hills,107
Glendale,130
Sunnyside,25253
Elmhurst/Maspeth,2300
Saint Albans,25
College Point,65
Manhattan Beach,32
Queens Village,95
Chinatown,29555
Ridgewood,579
Bedford,5763
Bronxdale,59
Melrose South,824
Midtown North,344578
Steinway,11178
West Brighton,5
West Village,317441
Claremont/Bathgate,147
Brooklyn Heights,15619
Baisley Park,996
