pickup_zone,dropoff_zone,number_of_dropoffs,rank
Governor's Island/Ellis Island/Liberty Island,Clinton Hill,1,1
Governor's Island/Ellis Island/Liberty Island,Crown Heights North,1,2
Governor's Island/Ellis Island/Liberty Island,Gramercy,1,3
Governor's Island/Ellis Island/Liberty Island,Kips Bay,1,4
Governor's Island/Ellis Island/Liberty Island,Lower East Side,1,5
Homecrest,Homecrest,48,1
Homecrest,Midwood,16,2
Homecrest,Brighton Beach,8,3
Homecrest,Bensonhurst West,7,4
Homecrest,Flatbush/Ditmas Park,6,5
Corona,Corona,50,1
Corona,Elmhurst,46,2
Corona,Jackson Heights,32,3
Corona,North Corona,29,4
Corona,Forest Hills,16,5
Bensonhurst West,Bensonhurst West,217,1
Bensonhurst West,Bay Ridge,10,2
Bensonhurst West,Flatlands,9,3
Bensonhurst West,Bensonhurst East,8,4
Bensonhurst West,Dyker Heights,8,5
Westerleigh,Westerleigh,2,1
Westerleigh,Great Kills,1,2
Westerleigh,Grymes Hill/Clifton,1,3
Westerleigh,Stapleton,1,4
Westerleigh,Union Sq,1,5
Charleston/Tottenville,East Elmhurst,1,1
Charleston/Tottenville,LaGuardia Airport,1,2
Charleston/Tottenville,Murray Hill,1,3
Douglaston,Douglaston,13,1
Douglaston,Crown Heights North,1,2
Douglaston,East Flatbush/Remsen Village,1,3
Douglaston,JFK Airport,1,4
Douglaston,Murray Hill-Queens,1,5
Newark Airport,Newark Airport,213,1
Newark Airport,TriBeCa/Civic Center,3,2
Newark Airport,Upper East Side North,2,3
Newark Airport,Canarsie,1,4
Newark Airport,Clinton East,1,5
East Concourse/Concourse Village,East Concourse/Concourse Village,113,1
East Concourse/Concourse Village,Mott Haven/Port Morris,64,2
East Concourse/Concourse Village,Central Harlem North,57,3
East Concourse/Concourse Village,West Concourse,47,4
East Concourse/Concourse Village,Highbridge,35,5
Mount Hope,Mount Hope,24,1
Mount Hope,West Concourse,22,2
Mount Hope,University Heights/Morris Heights,19,3
Mount Hope,East Concourse/Concourse Village,13,4
Mount Hope,Washington Heights South,10,5
Pelham Parkway,Pelham Parkway,10,1
Pelham Parkway,Belmont,7,2
Pelham Parkway,Bronxdale,7,3
Pelham Parkway,Van Nest/Morris Park,6,4
Pelham Parkway,Co-Op City,5,5
Marble Hill,Inwood,23,1
Marble Hill,Washington Heights South,13,2
Marble Hill,Washington Heights North,12,3
Marble Hill,Van Cortlandt Village,8,4
Marble Hill,Kingsbridge Heights,5,5
Rego Park,Elmhurst,183,1
Rego Park,Forest Hills,166,2
Rego Park,Rego Park,156,3
Rego Park,Jackson Heights,68,4
Rego Park,Sunnyside,61,5
Dyker Heights,Bay Ridge,13,1
Dyker Heights,Dyker Heights,13,2
Dyker Heights,Sunset Park West,5,3
Dyker Heights,Bensonhurst East,4,4
Dyker Heights,Bensonhurst West,4,5
Heartland Village/Todt Hill,Heartland Village/Todt Hill,4,1
Heartland Village/Todt Hill,Bloomfield/Emerson Hill,1,2
Heartland Village/Todt Hill,Chinatown,1,3
Heartland Village/Todt Hill,Gramercy,1,4
Heartland Village/Todt Hill,Midtown South,1,5
Upper East Side South,Upper East Side North,57645,1
Upper East Side South,Upper East Side South,47962,2
Upper East Side South,Midtown Center,29311,3
Upper East Side South,Lenox Hill West,29270,4
Upper East Side South,Midtown East,28211,5
Kew Gardens Hills,Forest Hills,103,1
Kew Gardens Hills,Kew Gardens Hills,27,2
Kew Gardens Hills,Briarwood/Jamaica Hills,13,3
Kew Gardens Hills,Jamaica,10,4
Kew Gardens Hills,Kew Gardens,10,5
Rikers Island,Rikers Island,23,1
Rikers Island,Central Harlem,1,2
Rikers Island,Central Park,1,3
Rikers Island,Union Sq,1,4
Bayside,Bayside,26,1
Bayside,Douglaston,5,2
Bayside,Flushing,5,3
Bayside,Bay Terrace/Fort Totten,4,4
Bayside,East Flushing,2,5
Jackson Heights,Jackson Heights,1988,1
Jackson Heights,Woodside,814,2
Jackson Heights,Astoria,579,3
Jackson Heights,Elmhurst,546,4
Jackson Heights,North Corona,368,5
TriBeCa/Civic Center,TriBeCa/Civic Center,16987,1
TriBeCa/Civic Center,West Village,11223,2
TriBeCa/Civic Center,Battery Park City,10104,3
TriBeCa/Civic Center,SoHo,8849,4
TriBeCa/Civic Center,Union Sq,8572,5
Yorkville West,Lenox Hill West,22900,1
Yorkville West,Upper East Side North,21125,2
Yorkville West,Upper East Side South,12172,3
Yorkville West,Yorkville West,11839,4
Yorkville West,East Harlem South,11331,5
Highbridge,Highbridge,42,1
Highbridge,West Concourse,25,2
Highbridge,Central Harlem North,18,3
Highbridge,Mount Hope,12,4
Highbridge,East Concourse/Concourse Village,11,5
Stuy Town/Peter Cooper Village,Kips Bay,4645,1
Stuy Town/Peter Cooper Village,Murray Hill,4639,2
Stuy Town/Peter Cooper Village,Union Sq,4474,3
Stuy Town/Peter Cooper Village,East Village,3693,4
Stuy Town/Peter Cooper Village,Gramercy,3586,5
Flushing Meadows-Corona Park,Flushing Meadows-Corona Park,278,1
Flushing Meadows-Corona Park,JFK Airport,61,2
Flushing Meadows-Corona Park,Times Sq/Theatre District,50,3
Flushing Meadows-Corona Park,Murray Hill,32,4
